"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"25327","Native",8,8,"spillover1","tt","spillover1 tt",3,0,336,336,-0.5,-0.5
"25329","Native",8,19,"spillover1","tt","spillover1 tt",2,0,1100,1100,0.5,0.5
"25331","Native",8,15,"spillover1","tt","spillover1 tt",2,0,220,220,0.5,0.5
"25333","Native",8,22,"spillover1","tt","spillover1 tt",1,0,567,567,0.5,-0.5
"25335","Native",8,9,"spillover1","tt","spillover1 tt",4,0,460,460,-0.5,0.5
"25337","Native",8,24,"spillover1","tt","spillover1 tt",3,0,230,230,-0.5,-0.5
"25339","Native",8,13,"spillover1","tt","spillover1 tt",4,0,509,509,-0.5,0.5
"25341","Native",8,3,"spillover1","tt","spillover1 tt",2,0,596,596,0.5,0.5
"25343","Native",8,20,"spillover1","tt","spillover1 tt",3,0,210,210,-0.5,-0.5
"25346","Native",9,9,"spillover1","tt","spillover1 tt",1,0,388,388,0.5,-0.5
"25348","Native",9,3,"spillover1","tt","spillover1 tt",3,0,752,752,-0.5,-0.5
"25350","Native",9,5,"spillover1","tt","spillover1 tt",1,0,174,174,0.5,-0.5
"25352","Native",9,22,"spillover1","tt","spillover1 tt",2,0,754,754,0.5,0.5
"25354","Native",9,2,"spillover1","tt","spillover1 tt",2,0,799,799,0.5,0.5
"25356","Native",9,7,"spillover1","tt","spillover1 tt",3,0,584,584,-0.5,-0.5
"25358","Native",9,6,"spillover1","tt","spillover1 tt",2,0,464,464,0.5,0.5
"25360","Native",9,13,"spillover1","tt","spillover1 tt",1,0,235,235,0.5,-0.5
"25362","Native",9,24,"spillover1","tt","spillover1 tt",4,0,536,536,-0.5,0.5
"25364","Native",9,14,"spillover1","tt","spillover1 tt",2,0,488,488,0.5,0.5
"25366","Native",9,12,"spillover1","tt","spillover1 tt",4,0,619,619,-0.5,0.5
"25368","Native",9,20,"spillover1","tt","spillover1 tt",4,0,183,183,-0.5,0.5
"25370","Native",9,4,"spillover1","tt","spillover1 tt",4,0,533,533,-0.5,0.5
"25372","Native",9,23,"spillover1","tt","spillover1 tt",3,0,515,515,-0.5,-0.5
"25374","Native",9,10,"spillover1","tt","spillover1 tt",2,0,394,394,0.5,0.5
"25376","Native",9,1,"spillover1","tt","spillover1 tt",1,0,540,540,0.5,-0.5
"25378","Native",9,16,"spillover1","tt","spillover1 tt",4,0,176,176,-0.5,0.5
"25380","Native",9,18,"spillover1","tt","spillover1 tt",2,0,475,475,0.5,0.5
"25382","Native",9,21,"spillover1","tt","spillover1 tt",1,0,890,890,0.5,-0.5
"25384","Native",9,15,"spillover1","tt","spillover1 tt",3,0,227,227,-0.5,-0.5
"25386","Native",9,17,"spillover1","tt","spillover1 tt",1,0,160,160,0.5,-0.5
"25388","Native",9,11,"spillover1","tt","spillover1 tt",3,0,243,243,-0.5,-0.5
"25390","Native",9,19,"spillover1","tt","spillover1 tt",3,0,329,329,-0.5,-0.5
